Line #,Name,Description,Designator,Revision ID,Revision Status,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1
"","GJM1555C1H470JB01D","Multi-Layer Ceramic Capacitor 47pF C0G  ±5% 0402 Paper T/R","C22","CMP-06035-013708-1","Up to date","Murata","GJM1555C1H470JB01D","Volume Production","Newark","92AH8225","0.039","3.51"
"","GRM155R72A102KA01D","Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 1000pF, X7R, 15%, 10%, 100V","C23","CMP-1034-01633-3","Up to date","Murata","GRM155R72A102KA01D","Volume Production","Mouser","81-GRM155R72A102KA1D","0.015","0.6"
"","GJM1555C1H1R2BB01D","Multi-Layer Ceramic Capacitor 1.2pF C0G  ±0.1pF 0402 Paper T/R","C24","CMP-2008-03813-2","Up to date","Murata","GJM1555C1H1R2BB01D","Volume Production","Mouser","81-GJM1555C1H1R2BB01","0.036","0.36"
"","GRM155R71H104KE14D","Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 0.10uF, X7R, 15%, 10%, 50V","C25","CMP-2008-04639-2","Up to date","Murata","GRM155R71H104KE14D","Volume Production","Newark","96Y9233","0.015","1.05"
"","GRM155R71H104KE14D","Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 0.10uF, X7R, 15%, 10%, 50V","C26","CMP-2008-04639-2","Up to date","Murata","GRM155R71H104KE14D","Volume Production","Newark","96Y9233","0.015","1.05"
"","GJM1555C1H470JB01D","Multi-Layer Ceramic Capacitor 47pF C0G  ±5% 0402 Paper T/R","C27","CMP-06035-013708-1","Up to date","Murata","GJM1555C1H470JB01D","Volume Production","Newark","92AH8225","0.039","3.51"
"","GRM155R71H104KE14D","Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 0.10uF, X7R, 15%, 10%, 50V","C28","CMP-2008-04639-2","Up to date","Murata","GRM155R71H104KE14D","Volume Production","Newark","96Y9233","0.015","1.05"
"","GRM155R71H104KE14D","Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 0.10uF, X7R, 15%, 10%, 50V","C29","CMP-2008-04639-2","Up to date","Murata","GRM155R71H104KE14D","Volume Production","Newark","96Y9233","0.015","1.05"
"","GRM155R71H104KE14D","Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 0.10uF, X7R, 15%, 10%, 50V","C30","CMP-2008-04639-2","Up to date","Murata","GRM155R71H104KE14D","Volume Production","Newark","96Y9233","0.015","1.05"
"","GRM155R71H103KA88D","Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 10000pF, X7R, 15%, 10%, 50V","C31","CMP-2008-04637-5","Up to date","Murata","GRM155R71H103KA88D","Volume Production","Mouser","81-GRM155R71H103KA8D","0.014","0.14"
"","GJM1555C1H330JB01D","Multi-Layer Ceramic Capacitor 33pF C0G  ±5% 0402 Paper T/R","C32","CMP-06035-057988-1","Up to date","Murata","GJM1555C1H330JB01D","Volume Production","Mouser","81-GJM1555C1H330JB1D","0.045","0.45"
"","GJM1555C1H1R5BB01D","Multi-Layer Ceramic Capacitor 1.5pF C0G  ±0.1pF 0402 Paper T/R","C33","CMP-2008-03820-2","Up to date","Murata","GJM1555C1H1R5BB01D","Volume Production","Mouser","81-GJM1555C1H1R5BB1D","0.036","0.36"
"","GRM155R72A102KA01D","Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 1000pF, X7R, 15%, 10%, 100V","C34","CMP-1034-01633-3","Up to date","Murata","GRM155R72A102KA01D","Volume Production","Mouser","81-GRM155R72A102KA1D","0.015","0.6"
"","GJM1555C1H4R7CB01D","Multi-Layer Ceramic Capacitor 4.7pF C0G  ±0.25pF 0402 Paper T/R","C35","CMP-2008-03859-2","Up to date","Murata","GJM1555C1H4R7CB01D","Volume Production","Mouser","81-GJM1555C1H4R7CB1D","0.034","0.34"
"","GJM1555C1H1R8BB01D","Multi-Layer Ceramic Capacitor 1.8pF C0G  ±0.1pF 0402 Paper T/R","C36","CMP-2008-03825-2","Up to date","Murata","GJM1555C1H1R8BB01D","Volume Production","Mouser","81-GJM1555C1H1R8BB01","0.036","0.36"
"","GJM1555C1H470JB01D","Multi-Layer Ceramic Capacitor 47pF C0G  ±5% 0402 Paper T/R","C37","CMP-06035-013708-1","Up to date","Murata","GJM1555C1H470JB01D","Volume Production","Newark","92AH8225","0.039","3.51"
"","GJM1555C1H470JB01D","Multi-Layer Ceramic Capacitor 47pF C0G  ±5% 0402 Paper T/R","C38","CMP-06035-013708-1","Up to date","Murata","GJM1555C1H470JB01D","Volume Production","Newark","92AH8225","0.039","3.51"
"","GJM1555C1H470JB01D","Multi-Layer Ceramic Capacitor 47pF C0G  ±5% 0402 Paper T/R","C39","CMP-06035-013708-1","Up to date","Murata","GJM1555C1H470JB01D","Volume Production","Newark","92AH8225","0.039","3.51"
"","GJM1555C1H3R3BB01D","Multi-Layer Ceramic Capacitor 3.3pF C0G  ±0.1pF 0402 Paper T/R","C40","CMP-2008-03846-2","Up to date","Murata","GJM1555C1H3R3BB01D","Volume Production","Mouser","81-GJM1555C1H3R3BB01","0.036","2.16"
"","GRM155R72A102KA01D","Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 1000pF, X7R, 15%, 10%, 100V","C41","CMP-1034-01633-3","Up to date","Murata","GRM155R72A102KA01D","Volume Production","Mouser","81-GRM155R72A102KA1D","0.015","0.6"
"","GRT1555C1H100JA02J","Multi-Layer Ceramic Capacitor 10pF 50V C0G ±5% 0402 Paper T/R","C42","CMP-06035-051459-1","Up to date","Murata","GRT1555C1H100JA02J","Volume Production","Mouser","81-GRT1555C1H100JA2J","0.018","0.72"
"","GRM155R60J104KA01D","","C43","CMP-2008-04536-1","Up to date","Murata","GRM155R60J104KA01D","Not Recommended for New Design","Arrow Electronics","GRM155R60J104KA01D","0.002","0.1"
"","GRM155R60J104KA01D","","C44","CMP-2008-04536-1","Up to date","Murata","GRM155R60J104KA01D","Not Recommended for New Design","Arrow Electronics","GRM155R60J104KA01D","0.002","0.1"
"","C0603C105K4PACTU","CAP CER 1UF 16V X5R 0603","C45","CMP-2006-02279-2","Up to date","KEMET","C0603C105K4PACTU","Volume Production","Mouser","80-C0603C105K4P","0.045","0.9"
"","GRM155R71C104KA88D","CAP CER 0.1UF 16V X7R 0402","C46","CMP-2100-03641-2","Up to date","Murata","GRM155R71C104KA88D","Not Recommended for New Design","Newark","94AK6874","0.015","1.05"
"","1210YC475K4T2A","Automotive Ceramic Capacitor, 1210, 4.7uF, 10%, X7R, 15%, 16V","C47","CMP-04427-009609-1","Up to date","KYOCERA AVX","1210YC475K4T2A","Volume Production","Mouser","581-1210YC475K4","1.01","20.2"
"","GRM155R71C224KA12D","Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 0.22uF, X7R, 15%, 10%, 16V","C48","CMP-1034-02089-3","Up to date","Murata","GRM155R71C224KA12D","Volume Production","Newark","45Y5202","0.013","0.26"
"","GRM155R71C224KA12D","Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 0.22uF, X7R, 15%, 10%, 16V","C49","CMP-1034-02089-3","Up to date","Murata","GRM155R71C224KA12D","Volume Production","Newark","45Y5202","0.013","0.26"
"","GJM0225C1C200JB01L","Ceramic Capacitor 20pF ±5% 16V C0G 01005 (0402 Metric)","C50","CMP-06035-052573-1","Up to date","Murata","GJM0225C1C200JB01L","Volume Production","Mouser","81-GJM0225C1C200JB1L","0.048","0.48"
"","GRM32ER61C226KE20L","Chip Monolithic Ceramic Capacitor, 22 uF, +/- 10%, -55 to 85 degC, 2-Pin SMD (1210), RoHS, Tape and Reel","C51","CMP-2000-06361-1","Up to date","Murata","GRM32ER61C226KE20L","Not Recommended for New Design","Mouser","81-GRM32ER61C226KE20","0.829","16.58"
"","GRM32ER61C226KE20L","Chip Monolithic Ceramic Capacitor, 22 uF, +/- 10%, -55 to 85 degC, 2-Pin SMD (1210), RoHS, Tape and Reel","C52","CMP-2000-06361-1","Up to date","Murata","GRM32ER61C226KE20L","Not Recommended for New Design","Mouser","81-GRM32ER61C226KE20","0.829","16.58"
"","GRM155R60J104KA01D","","C53","CMP-2008-04536-1","Up to date","Murata","GRM155R60J104KA01D","Not Recommended for New Design","Arrow Electronics","GRM155R60J104KA01D","0.002","0.1"
"","GRM155R60J104KA01D","","C54","CMP-2008-04536-1","Up to date","Murata","GRM155R60J104KA01D","Not Recommended for New Design","Arrow Electronics","GRM155R60J104KA01D","0.002","0.1"
"","C0402C470J3GACAUTO","C0402 47 pF C0G 5.00% 25 V","C55","CMP-03020-020906-1","Up to date","KEMET","C0402C470J3GACAUTO","Volume Production","Newark","68AC4750","0.033","0.33"
"","GRM155R71C103KA01D","Chip Capacitor, 10 nF, 16 V, 10%, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel","C56","CMP-2000-06332-1","Up to date","Murata","GRM155R71C103KA01D","Not Recommended for New Design","Mouser","81-GRM36X103K16","0.005","0.05"
"","GRM155R60J104KA01D","","C57","CMP-2008-04536-1","Up to date","Murata","GRM155R60J104KA01D","Not Recommended for New Design","Arrow Electronics","GRM155R60J104KA01D","0.002","0.1"
"","GRM155R71C104KA88D","CAP CER 0.1UF 16V X7R 0402","C58","CMP-2100-03641-2","Up to date","Murata","GRM155R71C104KA88D","Not Recommended for New Design","Newark","94AK6874","0.015","1.05"
"","GRM155R71C104KA88D","CAP CER 0.1UF 16V X7R 0402","C59","CMP-2100-03641-2","Up to date","Murata","GRM155R71C104KA88D","Not Recommended for New Design","Newark","94AK6874","0.015","1.05"
"","GRT1555C1H100JA02J","Multi-Layer Ceramic Capacitor 10pF 50V C0G ±5% 0402 Paper T/R","C60","CMP-06035-051459-1","Up to date","Murata","GRT1555C1H100JA02J","Volume Production","Mouser","81-GRT1555C1H100JA2J","0.018","0.72"
"","GJM1555C1H3R3BB01D","Multi-Layer Ceramic Capacitor 3.3pF C0G  ±0.1pF 0402 Paper T/R","C61","CMP-2008-03846-2","Up to date","Murata","GJM1555C1H3R3BB01D","Volume Production","Mouser","81-GJM1555C1H3R3BB01","0.036","2.16"
"","GJM1555C1H2R7BB01D","Multi-Layer Ceramic Capacitor 2.7pF C0G  ±0.1pF 0402 Paper T/R","C62","CMP-2008-03840-2","Up to date","Murata","GJM1555C1H2R7BB01D","Volume Production","Mouser","81-GJM1555C1H2R7BB01","0.055","1.1"
"","GJM1555C1H3R3BB01D","Multi-Layer Ceramic Capacitor 3.3pF C0G  ±0.1pF 0402 Paper T/R","C63","CMP-2008-03846-2","Up to date","Murata","GJM1555C1H3R3BB01D","Volume Production","Mouser","81-GJM1555C1H3R3BB01","0.036","2.16"
"","GJM1555C1H3R3BB01D","Multi-Layer Ceramic Capacitor 3.3pF C0G  ±0.1pF 0402 Paper T/R","C64","CMP-2008-03846-2","Up to date","Murata","GJM1555C1H3R3BB01D","Volume Production","Mouser","81-GJM1555C1H3R3BB01","0.036","2.16"
"","GJM1555C1H6R8BB01D","Multi-Layer Ceramic Capacitor 6.8pF C0G  ±0.1pF 0402 Paper T/R","C65","CMP-2008-03772-2","Up to date","Murata","GJM1555C1H6R8BB01D","Volume Production","Arrow Electronics","GJM1555C1H6R8BB01D","0.005","0.15"
